fd22:e062:2dc0::/64 dev br-lan  metric 1024 
unreachable fd22:e062:2dc0::/48 dev lo  metric 2147483647 
fe80::/64 dev eth0  metric 256 
fe80::/64 dev br-lan  metric 256 
fe80::/64 dev phy0-sta0  metric 256 
anycast fd22:e062:2dc0:: dev br-lan  metric 0 
anycast fe80:: dev eth0  metric 0 
anycast fe80:: dev br-lan  metric 0 
anycast fe80:: dev phy0-sta0  metric 0 
multicast ff00::/8 dev eth0  metric 256 
multicast ff00::/8 dev br-lan  metric 256 
multicast ff00::/8 dev phy0-sta0  metric 256 
